Id,SalePrice
1461,99831.97735413889
1462,119659.2059814081
1463,140825.26921634158
1464,163916.75956025274
1465,159381.70093311535
1466,146349.37596843817
1467,156089.02613535424
1468,143867.8174841065
1469,147780.12097575038
1470,95174.0815916889
1471,186879.1104686931
1472,108411.79937167578
1473,102377.69350769458
1474,140499.0670483149
1475,111936.15376504869
1476,270118.7447931846
1477,185113.64007763422
1478,217485.00812376192
1479,209017.29295307316
1480,347964.6746548616
1481,247500.8785560987
1482,176355.4928223272
1483,138594.47416957378
1484,151735.51823770505
1485,164860.37506157806
1486,167581.10320612762
1487,249404.09678935492
1488,207454.8345131363
1489,152457.40178182287
1490,177113.48679070853
1491,171674.1011195959
1492,95008.87622232556
1493,167565.50824618156
1494,263426.86033298797
1495,251792.10058141264
1496,202269.95743519493
1497,160521.67829428733
1498,154461.6763630939
1499,164983.68455225142
1500,152675.06392693613
1501,161123.48502918644
1502,148753.84291170095
1503,219100.34179017303
1504,221274.9304869783
1505,191559.16527467218
1506,169186.64910440758
1507,212435.61114486013
1508,173503.82407286201
1509,143754.46679285596
1510,116529.8495886878
1511,112988.60833483757
1512,134710.21480975265
1513,137270.71686883311
1514,151286.4852106446
1515,159221.44007553157
1516,131364.88601132072
1517,141536.11868209837
1518,129876.34082963908
1519,174519.5213297791
1520,102156.09103243785
1521,96768.9243842078
1522,141648.6196101826
1523,88822.4921755216
1524,95375.78610795962
1525,93723.14359999563
1526,101433.12027408247
1527,95776.94109742435
1528,128915.5104892493
1529,114273.06222027836
1530,151896.63966677146
1531,105379.53739542095
1532,100308.11799594917
1533,135087.82940504202
1534,119210.04825842983
1535,133086.63923350401
1536,101500.71561493364
1537,71073.58991243399
1538,160456.44467883912
1539,187668.96619162464
1540,101970.70992231376
1541,128766.97652227551
1542,128272.35345969748
1543,155137.60267952157
1544,95392.9251932657
1545,116424.91226336708
1546,139127.0524883792
1547,118860.55142260526
1548,125288.91878430916
1549,115231.59608562794
1550,126309.32359081757
1551,111672.37785716465
1552,122213.24714461308
1553,128566.2025169692
1554,121965.73122860528
1555,128818.01483076977
1556,80705.2014472895
1557,91530.15297487554
1558,96070.76803921927
1559,72921.68032130548
1560,137637.82714740682
1561,116333.14842386638
1562,109271.68873588457
1563,97774.59167077401
1564,141102.51548021054
1565,131118.35765567288
1566,180789.45679282246
1567,79146.50464514909
1568,183961.36207601437
1569,102802.53308760421
1570,119647.32354805415
1571,107196.05045256738
1572,112123.65512700578
1573,168987.1481603626
1574,104494.71549389618
1575,172018.39658906558
1576,227037.18044040253
1577,164648.93560087355
1578,130566.56064650152
1579,129824.01247638985
1580,187640.52004391965
1581,146298.3057331012
1582,119267.09223924756
1583,271685.54678591696
1584,212057.25348697408
1585,146859.62737672337
1586,71974.51160472156
1587,90592.68379277279
1588,113699.3288468955
1589,92672.01590136788
1590,120285.55969097542
1591,78901.513281987
1592,108665.06094337378
1593,113111.68666417457
1594,118341.2054508922
1595,94457.08080375349
1596,170480.40541130156
1597,151638.57620476902
1598,157642.26637720162
1599,163241.54966013928
1600,166294.5211091183
1601,66906.0807133704
1602,96795.29538835271
1603,82809.76682089947
1604,203502.5371497055
1605,220077.77776814735
1606,156424.21144038875
1607,170783.62616492913
1608,180275.60293227833
1609,145730.2837236121
1610,126825.55149384086
1611,118012.55950043506
1612,132057.05632245273
1613,138408.91859251994
1614,124477.4713671569
1615,96382.17277342039
1616,83614.45038831931
1617,94982.56369841349
1618,102774.42695234595
1619,118443.87417124052
1620,163362.8771292377
1621,115588.31992140347
1622,115855.00704295185
1623,216121.43963959528
1624,180651.89195975038
1625,99999.15946816694
1626,145707.59550202856
1627,156994.085383038
1628,223626.0478066357
1629,151956.53038509077
1630,250391.4991144943
1631,175021.21535970777
1632,188229.94340278476
1633,152916.02795392633
1634,169382.3937479132
1635,152018.12448033513
1636,131989.145158547
1637,155334.51303996923
1638,184798.37889673968
1639,159807.72347162408
1640,216438.48965769983
1641,150505.5258837731
1642,200058.8511525003
1643,205060.524637658
1644,218469.72658772848
1645,168945.93041820574
1646,149127.07410916153
1647,139427.08815107695
1648,107206.36481372092
1649,115690.89445448646
1650,101066.10859270892
1651,103315.45081356952
1652,112255.7490900579
1653,116964.80866065918
1654,137766.7802907996
1655,136032.26434008442
1656,133667.9938872843
1657,142275.22783588848
1658,136189.99703583654
1659,122936.64794876102
1660,125498.14888047148
1661,357065.1344417927
1662,276022.62428049167
1663,258068.45384735058
1664,376240.4270855163
1665,227172.62917256582
1666,231421.25945471294
1667,299152.92117632285
1668,243955.0526265807
1669,220392.05303424443
1670,244630.12390476797
1671,198542.046243469
1672,310359.8761333058
1673,245742.18178604144
1674,191488.02393902303
1675,157357.39777849393
1676,160397.76732829848
1677,180110.2486298637
1678,332269.3436395493
1679,257520.80560536793
1680,237911.05735728567
1681,197737.6122266722
1682,228260.6895665621
1683,165273.25008772535
1684,165573.0390387273
1685,150659.7138374744
1686,155418.74883415375
1687,151162.38654086387
1688,167448.75423288104
